product_name,code_country,pnns_groups_1,pnns_groups_2,nutrition-score-uk_100g,nutrition-score-fr_100g,sodium_100g,salt_100g,proteins_100g,energy_100g,saturated-fat_100g,sugars_100g,fat_100g,carbohydrates_100g
Roquefort,FRA,Milk and dairy products,Cheese,24.0,19.0,1.25984251968504,3.2,19.0,1524.0,24.0,0.0,32.0,1.0
Châtaignes Pelées au feu,FRA,Salty snacks,Nuts,-8.0,-8.0,0.0,0.0,3.1,767.0,0.3,8.4,1.7,36.0
Sandwich Jambon Cheddar Pain Suédois,FRA,Composite foods,Sandwich,15.0,15.0,0.748031496062992,1.9,10.0,1111.0,6.1,5.2,12.0,28.0
Jambon Cheddar pain polaire,FRA,Composite foods,Sandwich,18.0,18.0,0.74,1.8796,11.0,1256.0,9.1,3.6,16.0,27.0
Évasion Poulet Tandoori,FRA,Composite foods,Sandwich,2.0,2.0,0.551181102362205,1.4,9.1,923.0,1.0,4.9,7.3,29.0
Pomme Pocket (x 4),FRA,Fruits and vegetables,Fruits,-6.0,-6.0,0.0,0.0,0.4,242.0,0.0,9.0,0.4,12.0
"Mousse liégeoise à la Crème fraîche, Marron (x 4)",FRA,Milk and dairy products,Dairy desserts,13.0,13.0,0.0393700787401575,0.1,3.3,873.0,7.4,21.0,11.0,23.0
Saucisson sec séché et affiné en Corse,FRA,Fish Meat Eggs,Processed meat,24.0,24.0,1.8897637795275601,4.8,27.0,1615.0,13.0,0.0,31.0,1.0
Chips goût Vinaigre,FRA,Salty snacks,Appetizers,10.0,10.0,0.551181102362205,1.4,5.6,2273.0,3.1,0.6,34.0,52.0
Corn Flakes Choco,FRA,Cereals and potatoes,Breakfast cereals,15.0,15.0,0.5118110236220471,1.3,5.4,1668.0,2.2,39.0,3.8,83.0
"Orange sanguine, 100 % pur fruit pressé",FRA,Beverages,Fruit juices,-4.0,2.0,0.0118110236220472,0.0299999999999999,0.7,179.0,0.0,8.7,0.0,9.4
"Multifruits, boisson",FRA,Beverages,Non-sugared beverages,0.0,2.0,0.0118110236220472,0.03,0.0,29.0,0.0,1.1,0.0,1.1
Double concentré de tomates,ITA,Fat and sauces,Dressings and sauces,-1.0,-1.0,0.433070866141732,1.1,4.2,338.0,0.0,14.0,0.0,14.0
Truite fumée Au bois de hêtre Bio (4 tranches minimum) décongelée - 120 g,FRA,Fish Meat Eggs,Fish and seafood,14.0,14.0,1.2590000000000001,3.19786,23.0,714.0,2.2,0.0,8.4,0.6
Assortiment de chocolats mixtes,FRA,Sugary snacks,Chocolate products,21.0,21.0,0.031496062992126,0.08,5.7,2233.0,18.0,51.0,32.0,53.0
Assortiment de chocolats au lait,FRA,Sugary snacks,Chocolate products,23.0,23.0,0.047244094488189003,0.12,6.8,2293.0,17.0,51.0,35.0,51.0
Assortiment de chocolats noirs,FRA,Sugary snacks,Chocolate products,21.0,21.0,0.0118110236220472,0.03,5.1,2247.0,21.0,48.0,34.0,50.0
Confiture de fraises,FRA,Sugary snacks,Sweets,11.0,11.0,0.0,0.0,0.0,1021.0,0.0,59.0,0.0,59.0
Carottes râpées,FRA,Composite foods,One-dish meals,-7.0,-7.0,0.24015748031496104,0.61,0.6,273.0,0.5,6.3,3.2,6.3
Pains au lait Bio (x 8) ,FRA,Sugary snacks,Pastries,8.0,8.0,0.46,1.1684,8.9,1454.0,1.0,13.1,11.0,51.6
Pomme 100 % Pur Jus,FRA,Beverages,Fruit juices,-3.0,7.0,0.01,0.0254,0.1,223.0,0.0,13.0,0.0,13.0
Jus d'orange pulpé biologique pasteurisé,FRA,Beverages,Fruit juices,-3.0,4.0,0.0118110236220472,0.03,0.7,201.0,0.0,10.0,0.2,10.5
Orange 100 % pur fruit pressé (Sans Pulpe),FRA,Beverages,Fruit juices,-3.0,4.0,0.0118110236220472,0.03,0.7,194.0,0.0,10.0,0.0,10.0
Cookies Choco noisette Cœur Fondant,FRA,Sugary snacks,Biscuits and cakes,24.0,24.0,0.62992125984252,1.6,6.0,2134.0,11.0,33.0,28.0,56.0
Crème Dessert au Chocolat Noir,FRA,Milk and dairy products,Dairy desserts,2.0,2.0,0.078740157480315,0.2,3.5,533.0,2.0,18.0,3.3,20.0
8 Yaourts brassés nature (Au lait entier),FRA,Milk and dairy products,Milk and yogurt,1.0,1.0,0.0669291338582677,0.17,4.6,313.0,2.3,5.8,3.6,6.0
Soja A cuisiner ,FRA,unknown,unknown,2.0,2.0,0.0393700787401575,0.1,3.0,757.0,1.8,2.0,17.9,2.3
Emmental râpé (27 % MG),FRA,Milk and dairy products,Cheese,17.0,12.0,0.346456692913386,0.88,26.0,1485.0,19.0,0.0,27.0,2.0
Saint-Marcellin au lait cru (20% MG),FRA,Milk and dairy products,Cheese,18.0,13.0,0.53,1.3462,13.8,1019.0,15.0,2.6,20.0,2.6
Saint-Félicien (24% MG),FRA,Milk and dairy products,Cheese,19.0,14.0,0.58,1.4732,11.6,1129.0,17.0,2.6,24.0,2.6
Salami danois fumé 15 tranches,FRA,Fish Meat Eggs,Processed meat,24.0,24.0,1.5748031496063,4.0,22.0,1616.0,13.0,0.0,33.0,1.0
Coppa Bio Carrefour,FRA,Fish Meat Eggs,Processed meat,21.0,21.0,1.76,4.4704,25.0,1208.0,8.3,0.5,20.7,1.0
"Allégée, Boisson au soja",FRA,Beverages,Sweetened beverages,-2.0,-2.0,0.0511811023622047,0.13,2.1,131.0,0.2,2.2,1.2,2.5
Boisson au riz thaï et quinoa Bio,ITA,Beverages,Non-sugared beverages,1.0,1.0,0.04,0.1016,0.9,259.0,0.1,8.2,1.1,11.9
Boisson à l'amande Bio,ITA,Beverages,Non-sugared beverages,1.0,1.0,0.001,0.0025399999999999997,1.6,272.0,0.3,5.2,3.6,6.3
4 Galettes de blé noir à garnir,FRA,unknown,unknown,-1.0,-1.0,0.5118110236220471,1.3,5.8,711.0,0.3,0.5,1.6,31.0
Risotto aux champignons ,FRA,Composite foods,One-dish meals,5.0,5.0,0.5,1.27,3.6,741.0,2.9,4.5,4.3,30.6
Oeufs frais (x 10) calibre Moyen - Carrefour Discount,FRA,Fish Meat Eggs,Eggs,-1.0,-1.0,0.13,0.3302,13.0,593.0,2.6,0.77,9.9,0.8
Crevettes cuites Jumbo,NLD,Fish Meat Eggs,Fish and seafood,2.0,2.0,0.7090000000000001,1.80086,16.0,303.0,0.3,0.0,0.7,0.3
2 Crottins de chèvre (21 % MG),FRA,Milk and dairy products,Cheese,19.0,14.0,0.551181102362205,1.4,19.0,1100.0,15.6,0.0,21.0,0.0
Haricots verts extra-fins,KEN,Fruits and vegetables,Vegetables,-4.0,-4.0,0.37007874015748,0.94,1.6,94.0,0.0,1.0,0.2,2.2
Mayonnaise à la moutarde de Dijon,BEL,Fat and sauces,Dressings and sauces,17.0,17.0,0.4,1.016,1.4,2782.0,5.7,1.9,74.0,2.2
Ketchup,POL,Fat and sauces,Dressings and sauces,14.0,14.0,0.905511811023622,2.3,1.5,402.0,0.0,19.0,0.0,21.0
Mayonnaise ,BEL,Fat and sauces,Dressings and sauces,18.0,18.0,0.6,1.524,1.2,2644.0,5.5,1.6,70.0,1.9
Moutarde Douce,FRA,Fat and sauces,Dressings and sauces,16.0,16.0,1.5,3.81,5.0,1068.0,2.3,5.4,24.0,5.5
2 Baguettes précuites (2 x 125 g) No Gluten ,ESP,Cereals and potatoes,Bread,6.0,6.0,0.79,2.0066,0.31,1103.0,0.32,2.6,0.66,61.0
Croissants précuits (x 6),ESP,Sugary snacks,Pastries,16.0,16.0,0.5,1.27,1.6,1460.0,10.0,7.1,18.0,44.0
Pain de mie au riz complet,ESP,Cereals and potatoes,Bread,9.0,9.0,0.590551181102362,1.5,1.5,1257.0,4.9,7.8,9.6,49.0
Quenelles de veau sauce financière,FRA,Composite foods,One-dish meals,9.0,9.0,0.5118110236220471,1.3,3.6,641.0,5.3,0.8,10.1,11.4
Quenelles de volaille sauce champignon,FRA,Composite foods,One-dish meals,8.0,8.0,0.5,1.27,3.3,641.0,5.7,0.8,9.9,11.7
"Mélange de céréales Blé, soja, orge et avoine",ITA,Cereals and potatoes,Cereals,-5.0,-5.0,0.0,0.0,22.9,1595.0,1.3,2.7,7.5,50.8
Biscuits fondants,FRA,unknown,unknown,12.0,12.0,0.0393700787401575,0.1,5.1,1930.0,1.5,34.6,14.7,76.0
Flocon d'avoine bio,BEL,Cereals and potatoes,Breakfast cereals,-5.0,-5.0,0.0118110236220472,0.03,12.0,1460.0,1.1,1.0,6.5,55.0
Vinaigrette en spray (Huile d'olive 70% & vinaigre balsamique 30%) 65% MG,ITA,Fat and sauces,Dressings and sauces,16.0,16.0,0.0,0.0,0.3,2499.0,9.0,5.2,65.0,5.2
